epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.2412,1.77226,2.58571,1.81188,0.31588,0.26036,0.20362,0.08861,1.86876,2.56226,1.82995,0.080361,0.000198374,0.000198374
2,110.684,1.60595,2.13055,1.68301,0.39819,0.32265,0.29354,0.12555,1.81123,2.16976,1.74068,0.060559,0.000396382,0.000396382
3,135.018,1.59667,2.07804,1.68074,0.43442,0.3319,0.31065,0.1433,1.7633,2.17545,1.77227,0.040755,0.00059239,0.00059239
4,159.225,1.59572,2.04222,1.66969,0.40937,0.30235,0.28716,0.1228,1.83087,2.24034,1.77391,0.020949,0.000786398,0.000786398
5,183.348,1.58416,2.00713,1.65629,0.48861,0.36506,0.35189,0.16598,1.64454,2.06852,1.66894,0.00114101,0.000978407,0.000978407
6,207.264,1.57495,1.97903,1.65637,0.54271,0.3654,0.38408,0.16877,1.81524,1.92876,1.77329,0.000975,0.000975,0.000975
7,231.661,1.5465,1.91007,1.64079,0.53561,0.39858,0.41523,0.20589,1.65872,1.85172,1.63922,0.00097,0.00097,0.00097
8,255.933,1.54344,1.90366,1.62882,0.57067,0.40983,0.43361,0.20399,1.70186,1.7524,1.66857,0.000965,0.000965,0.000965
9,279.901,1.51294,1.8542,1.60441,0.56805,0.39831,0.4129,0.19169,1.73286,1.86619,1.6785,0.00096,0.00096,0.00096
10,303.839,1.51189,1.82748,1.6088,0.57243,0.41233,0.43888,0.22067,1.64928,1.72922,1.62568,0.000955,0.000955,0.000955
11,327.922,1.49662,1.78678,1.57732,0.61307,0.43422,0.47245,0.24794,1.5434,1.65682,1.54246,0.00095,0.00095,0.00095
12,352.344,1.49475,1.80284,1.60054,0.61325,0.44429,0.48191,0.24804,1.55256,1.60044,1.54641,0.000945001,0.000945001,0.000945001
13,376.425,1.4716,1.74053,1.56658,0.60521,0.44645,0.48408,0.25909,1.52395,1.60369,1.53477,0.000940001,0.000940001,0.000940001
14,400.399,1.47272,1.74736,1.56995,0.65002,0.46531,0.50922,0.26224,1.58693,1.54815,1.5614,0.000935001,0.000935001,0.000935001
15,424.599,1.46008,1.71458,1.55905,0.64537,0.44941,0.49825,0.25983,1.53781,1.53202,1.52472,0.000930001,0.000930001,0.000930001
16,448.597,1.43922,1.68473,1.54171,0.64458,0.476,0.52324,0.28425,1.48993,1.45414,1.5053,0.000925001,0.000925001,0.000925001
17,472.897,1.43626,1.67451,1.55235,0.67353,0.48821,0.53612,0.28373,1.50041,1.45671,1.50211,0.000920001,0.000920001,0.000920001
18,496.883,1.42962,1.63778,1.53315,0.68673,0.46585,0.53569,0.28311,1.5144,1.48718,1.51146,0.000915001,0.000915001,0.000915001
19,520.752,1.40488,1.61672,1.5312,0.67596,0.48799,0.54426,0.28717,1.52908,1.43129,1.50406,0.000910001,0.000910001,0.000910001
20,544.901,1.42295,1.62783,1.53655,0.66263,0.48524,0.54244,0.28895,1.50387,1.43997,1.48479,0.000905001,0.000905001,0.000905001
21,569.033,1.40599,1.60286,1.51384,0.71647,0.48691,0.55463,0.30081,1.49157,1.40204,1.48588,0.000900001,0.000900001,0.000900001
22,593.607,1.41801,1.59959,1.52211,0.69203,0.48157,0.54027,0.2898,1.51291,1.45383,1.48303,0.000895001,0.000895001,0.000895001
23,617.573,1.4039,1.57403,1.51382,0.71078,0.53307,0.59491,0.31985,1.48749,1.30023,1.47432,0.000890001,0.000890001,0.000890001
24,641.719,1.39263,1.55496,1.50567,0.69003,0.52796,0.58252,0.3108,1.50017,1.34198,1.48318,0.000885001,0.000885001,0.000885001
25,665.706,1.37277,1.52387,1.4899,0.68952,0.52635,0.58649,0.32858,1.43648,1.30409,1.43619,0.000880001,0.000880001,0.000880001
26,690.07,1.36411,1.50266,1.48445,0.68755,0.53451,0.58375,0.31559,1.45449,1.34202,1.46642,0.000875001,0.000875001,0.000875001
27,714.077,1.36646,1.50323,1.49048,0.73539,0.53321,0.60781,0.34229,1.41267,1.25712,1.43044,0.000870001,0.000870001,0.000870001
28,738.176,1.36395,1.49741,1.48495,0.70622,0.52047,0.58912,0.32375,1.44136,1.32061,1.45399,0.000865001,0.000865001,0.000865001
29,762.318,1.37863,1.48824,1.47924,0.74134,0.52048,0.60182,0.33938,1.40855,1.27243,1.41545,0.000860001,0.000860001,0.000860001
30,786.298,1.36285,1.49266,1.48297,0.74387,0.52348,0.60326,0.33913,1.42595,1.28026,1.42131,0.000855001,0.000855001,0.000855001
31,810.272,1.35399,1.47239,1.47159,0.75508,0.54945,0.63087,0.3557,1.41133,1.18316,1.41116,0.000850002,0.000850002,0.000850002
32,834.544,1.34866,1.4464,1.46935,0.73829,0.54921,0.62464,0.34822,1.42098,1.20659,1.42489,0.000845002,0.000845002,0.000845002
33,858.401,1.35395,1.4451,1.47182,0.7341,0.54525,0.61846,0.35003,1.41977,1.21749,1.422,0.000840002,0.000840002,0.000840002
34,882.343,1.35853,1.448,1.46168,0.72702,0.55294,0.61755,0.34009,1.43341,1.21472,1.41406,0.000835002,0.000835002,0.000835002
35,906.431,1.32456,1.41001,1.4505,0.75665,0.53947,0.62349,0.35656,1.39358,1.18657,1.39196,0.000830002,0.000830002,0.000830002
36,930.551,1.34074,1.41779,1.45648,0.76576,0.54727,0.62962,0.36425,1.3773,1.18145,1.4008,0.000825002,0.000825002,0.000825002
37,954.752,1.33501,1.42227,1.45722,0.75704,0.57466,0.64558,0.36986,1.38095,1.13685,1.38559,0.000820002,0.000820002,0.000820002
38,978.843,1.32881,1.41391,1.4475,0.73643,0.57194,0.63877,0.35674,1.42496,1.19037,1.4234,0.000815002,0.000815002,0.000815002
39,1002.79,1.31694,1.37052,1.44079,0.75205,0.58053,0.6505,0.37376,1.38544,1.1296,1.39613,0.000810002,0.000810002,0.000810002
40,1026.91,1.32348,1.38249,1.44296,0.76215,0.57214,0.65034,0.37096,1.39309,1.13967,1.39861,0.000805002,0.000805002,0.000805002
41,1050.84,1.31811,1.37338,1.43586,0.76851,0.5836,0.65565,0.37922,1.37004,1.10002,1.36709,0.000800002,0.000800002,0.000800002
42,1075.08,1.32917,1.37033,1.44598,0.75705,0.57856,0.6561,0.37464,1.35765,1.12678,1.37282,0.000795002,0.000795002,0.000795002
43,1099.38,1.31608,1.36628,1.4472,0.76597,0.57017,0.65127,0.3821,1.35409,1.1137,1.3695,0.000790002,0.000790002,0.000790002
44,1123.55,1.30492,1.35209,1.42409,0.73863,0.59355,0.65974,0.3796,1.35304,1.10497,1.36602,0.000785002,0.000785002,0.000785002
45,1147.5,1.29542,1.33734,1.42064,0.7598,0.59336,0.66157,0.38327,1.35848,1.10102,1.37194,0.000780002,0.000780002,0.000780002
46,1171.63,1.28169,1.31951,1.41747,0.78166,0.5689,0.66058,0.38547,1.35926,1.11309,1.37138,0.000775002,0.000775002,0.000775002
47,1196.26,1.28734,1.31879,1.41738,0.77019,0.5791,0.65934,0.38594,1.3365,1.09443,1.34963,0.000770002,0.000770002,0.000770002
48,1220.41,1.30073,1.33242,1.42468,0.77631,0.58082,0.66358,0.38543,1.37434,1.11156,1.38435,0.000765002,0.000765002,0.000765002
49,1244.26,1.28724,1.33022,1.42344,0.78229,0.59079,0.67596,0.39365,1.32133,1.06612,1.34909,0.000760002,0.000760002,0.000760002
